"module","method","path","files"
"intellicare-conhecimento","POST","/api/v1/rag/reindex",".\intellicare-conhecimento\conhecimento\api\rag.py"
"intellicare-conhecimento","GET","/api/v1/templates/careplan/{condition}",".\intellicare-conhecimento\conhecimento\api\templates.py"
"intellicare-conhecimento","POST","/api/v1/templates/careplan/generate",".\intellicare-conhecimento\conhecimento\api\templates.py"
"intellicare-conhecimento","GET","/api/v1/terminologias/{system}/{code}",".\intellicare-conhecimento\conhecimento\api\terminologias.py"
"intellicare-conhecimento","GET","/api/v1/terminologias/mapeamentos",".\intellicare-conhecimento\conhecimento\api\terminologias.py"
"intellicare-conhecimento","POST","/api/v1/terminologias/search",".\intellicare-conhecimento\conhecimento\api\terminologias.py"
"intellicare-donabedian","POST","/assess",".\intellicare-donabedian\src\donabedian\api\routes\assessment.py"
"intellicare-donabedian","GET","/assess/pillar/{pillar_id}",".\intellicare-donabedian\src\donabedian\api\routes\assessment.py"
"intellicare-donabedian","GET","/assess/triad/{dimension}",".\intellicare-donabedian\src\donabedian\api\routes\assessment.py"
"intellicare-donabedian","GET","/dashboard",".\intellicare-donabedian\src\donabedian\api\routes\dashboard.py"
"intellicare-donabedian","GET","/dashboard/indicators",".\intellicare-donabedian\src\donabedian\api\routes\dashboard.py"
"intellicare-donabedian","GET","/dashboard/pillars",".\intellicare-donabedian\src\donabedian\api\routes\dashboard.py"
"intellicare-donabedian","GET","/health",".\intellicare-donabedian\src\donabedian\api\routes\health.py"
"intellicare-donabedian","GET","/indicator-pillars",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py"
"intellicare-donabedian","POST","/indicator-pillars",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py"
"intellicare-donabedian","DELETE","/indicator-pillars/{association_id}",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py"
"intellicare-donabedian","GET","/indicator-pillars/{association_id}",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py"
"intellicare-donabedian","PUT","/indicator-pillars/{association_id}",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py"
"intellicare-donabedian","GET","/indicators",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py"
"intellicare-donabedian","POST","/indicators",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py"
"intellicare-donabedian","DELETE","/indicators/{indicator_id}",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py"
