"module","file","method","path"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\assessment.py","POST","/assess"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\assessment.py","GET","/assess/pillar/{pillar_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\assessment.py","GET","/assess/triad/{dimension}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\dashboard.py","GET","/dashboard"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\dashboard.py","GET","/dashboard/indicators"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\dashboard.py","GET","/dashboard/pillars"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\health.py","GET","/health"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py","GET","/indicator-pillars"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py","POST","/indicator-pillars"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py","DELETE","/indicator-pillars/{association_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py","GET","/indicator-pillars/{association_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicator_pillars.py","PUT","/indicator-pillars/{association_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py","GET","/indicators"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py","POST","/indicators"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py","DELETE","/indicators/{indicator_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py","GET","/indicators/{indicator_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\indicators.py","PUT","/indicators/{indicator_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\health.py","GET","/info"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\dependencies.py","GET","/items"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py","GET","/measurements"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py","POST","/measurements"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py","DELETE","/measurements/{measurement_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py","GET","/measurements/{measurement_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\measurements.py","PUT","/measurements/{measurement_id}"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py","GET","/pillars"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py","POST","/pillars"
"intellicare-donabedian",".\intellicare-donabedian\src\donabedian\api\routes\pillars.py","DELETE","/pillars/{pillar_id}"
